,u,v,w,x,y,z,p,q,r,phi/grad,theta/grad,psi/grad,forceX,forceY,forceZ,momentsX,momentsY,momentsZ,alpha,beta,deltaElevator,deltaAileron,deltaRudder,deltaThrust,tVerlauf
8,38.861452152571545,0.0352112391302842,9.154205972505036,17.937382055957105,-0.001974090397045488,0.799713766113821,0.0008893179058678157,0.609379291157961,0.0032207302109393894,0.01655923237677992,8.739763781985022,-0.061763523372309205,-726.9358874455315,-47.57052066978001,-3064.1003457141196,40.54665125118087,-30793.72333216728,506.63563424444004,13.254957056164695,0.0008819326271273756,17.347095881012756,0.46735514000332834,0.0,0.0,8.0
9,38.566654412530106,0.02832071581658046,10.2713191400091,19.927441302957924,-0.0024910504610286526,0.9568662453859258,0.0011158181073571297,0.3871681570119746,0.005404617398375955,0.02060294417712333,10.48550411773558,-0.05191794850327108,-237.7862516974883,-42.09932160780944,-4865.86067573505,24.919918729337024,-24860.167266722914,114.33826850943213,14.91321538544445,0.0007095968722092557,13.944721224343617,0.5844032438090062,0.0,0.0,9.0
10,38.36262982728916,0.01755195165696162,10.911582952205379,21.917035348214448,-0.003062536564822396,1.1109256081958476,0.0012366197757186117,0.20777440041943052,0.005896084266567081,0.02673891289730958,11.594653546407084,-0.035766304377541955,54.559878793461394,-36.764414639599096,-6155.69764499908,-31.81584136723896,-23616.37314386092,-194.36350539526714,15.877480598218986,0.0004400721374751744,15.132374027249382,0.7325196575937997,0.0,0.0,10.0
11,38.250469806081156,0.006113823666730269,11.175612702987856,23.905679587011882,-0.0036809419408067815,1.2598534555624934,0.0009293196914684269,0.03735606140589709,0.0050592211475312095,0.03380415034022865,12.189875410589726,-0.018239841080888154,177.30863380274786,-31.82066769776076,-6347.27851059597,-73.64370752622641,-20483.82546398728,-475.1367975425883,16.286741672963316,0.0001534223555609477,14.717804991624485,0.8326153422255915,0.0,0.0,11.0
12,38.23347186937282,-0.00373808129755379,11.108362757197447,25.893069434793688,-0.00433760406346282,1.402202162471063,0.0003270950432419864,-0.11045753426700686,0.0030134282719350295,0.03961104086731499,12.296884073720129,-0.0033473248811699344,145.4716487176729,-28.654017862617966,-5867.8660303134675,-92.99832162341605,-17850.294100467898,-706.9367075535392,16.20070803512066,-9.388744450030258e-05,14.862516884593928,0.8681006945344741,0.0,0.0,12.0
13,38.29800011652272,-0.009943215277527189,10.768985673926124,27.879175139240377,-0.005024524492433465,1.5377341869775076,-0.00040097714716582657,-0.23926738981983836,-3.200960350563994e-05,0.04238218313262912,11.980440654644513,0.005264317826134339,-4.09326654745837,-28.32355989303388,-4755.926229884717,-81.69819773857706,-15006.231000621992,-898.5732418684366,15.705411853030173,-0.0002499346406118927,14.812002904611719,0.8221481573193584,0.0,0.0,13.0
14,38.426744045372224,-0.010716722374268524,10.206890886162311,29.86413585319354,-0.005737603121406739,1.6669640835813355,-0.0010283920524391322,-0.3475541736920098,-0.003906513531282659,0.04110641690753612,11.294990329415544,0.004652251715573126,-234.65973982375363,-31.84996544265375,-2221.0705528002727,-50.18024638437885,-5141.0913416964795,-1050.8696132026982,14.875385339987488,-0.0002695405774168364,7.397339335497546,0.7066667859686796,0.0,0.0,14.0
15,38.59899097894755,-0.004431778576552414,9.490589090346926,31.84821644194943,-0.006478480236697436,1.79110978133189,-0.00142459869734149,-0.3846527570967809,-0.00844164765959856,0.03578238573584742,10.299329249565291,-0.00748856346832163,-512.741081262337,-39.83842332120138,3059.616490718585,-8.561605354215367,22896.411642833,-1081.2561568367887,13.813673082912826,-0.00011149513430008897,-20.0,0.5380859314179708,0.0,0.0,15.0
16,38.770318037540925,0.010313654446199628,8.815083858263314,33.83191029274343,-0.007255691417580708,1.912935952794424,-0.0015346317097440889,-0.21942902750918541,-0.013110890090862078,0.027181553564946802,9.197395589587382,-0.03276760541510023,-788.4456676727964,-52.14051283935639,3479.1253191370233,37.57470257725587,14013.582739887865,-772.7012440821921,12.809392197212201,0.00025939891799120826,-13.018682992022681,0.34054608438311296,0.0,0.0,16.0
17,38.84979726083519,0.03391360875779885,8.46574015169165,35.815952134888335,-0.008083784653275689,2.0381785542095776,-0.0012580477593541477,-0.1183046165290648,-0.016450740605828434,0.016655241191194055,8.568795620097136,-0.07111881680348774,-905.5684841887992,-66.9779178958143,4435.344926162477,82.20755143192582,14964.448345903822,-581.4555120845062,12.293121639264692,0.0008529259540386659,-15.455622350316352,0.1581712744381594,0.0,0.0,17.0
18,38.88005864945842,0.06387295983729173,8.332853225760841,37.79982820823324,-0.008973650210865419,2.1673163406663347,-0.0005750369001202836,-0.010318704333536544,-0.018968389576253436,0.005935182174881997,8.22989157276739,-0.11887834211662303,-943.6327956587998,-83.7848485808428,4430.0249125471055,98.76550911261891,12362.578072243801,-386.8337775733154,12.096746632375131,0.0016063405769799954,-14.604970040843103,0.027718028152689186,0.0,0.0,18.0
19,38.86367801922738,0.09867720213144587,8.409595682621243,39.78345393504341,-0.009938824050622297,2.301393752754537,0.00030442545799439776,0.07889131036415145,-0.02064776283068827,-0.0035721367411056374,8.200336291550617,-0.17378730711292995,-908.7109195022672,-101.32354602864557,4092.6151372530585,95.9989553673907,10968.724960738216,-230.54327583071557,12.209817955938151,0.00248162032039929,-14.901903712643144,-0.05511106529784442,0.0,0.0,19.0
20,38.810547756442716,0.13671359240506425,8.65232199572473,41.76675044921838,-0.010994401600647224,2.4404084548955813,0.0012195666433597219,0.1580423367251736,-0.02165358780397834,-0.011226265942269284,8.426339559485896,-0.2335640747671003,-820.5840096978936,-118.85300046561325,3317.050595762834,79.70217111738194,9177.344494824696,-95.81541063261331,12.567849281555521,0.003438170347179301,-14.798254307984207,-0.09653991543576108,0.0,0.0,20.0
21,38.724097547563595,0.17666352687701356,9.031479818036452,43.74973613021085,-0.012157510632432224,2.5839925604021903,0.0020539731905640933,0.2242656684604853,-0.022078524340452342,-0.016934977734959767,8.879085340285268,-0.29636366146276605,-686.878611329982,-135.80951888898522,1971.5906331231054,59.23861809128075,5430.199964716781,14.102971191054962,13.128208817210448,0.004442844994442228,-12.604008419155344,-0.10998661099659138,0.0,0.0,21.0
