,u,v,w,x,y,z,p,q,r,phi/grad,theta/grad,psi/grad,forceX,forceY,forceZ,momentsX,momentsY,momentsZ,alpha,beta,deltaElevator,deltaAileron,deltaRudder,deltaThrust,tVerlauf
0,39.980448383889986,-0.0003575944576924273,0.20599339126066712,-0.6712572232611617,-0.435216888711496,0.0,0.000578670232410864,0.007957065421391187,-0.001453653343210408,0.0,0.0,-147.04220486917677,2682.6154741570085,99.32108866539433,16688.953634932834,7136.958104258382,1821.0991796766543,-548.0703744620625,0.2952054808237111,-0.0005124600168981248,0.7161358879252068,-14.999999999999998,0.0,57.29577951308232,0.0
1,40.00386268093933,0.001675247525709036,0.35822367107949565,-1.3421902332124995,-0.8702150466381069,0.004119867825213346,0.02526454988888903,0.01321355985765818,-0.0026511997817262904,0.00066310724093994,0.009118125319104019,-147.04387063320564,2886.7647961305775,87.22055684092106,16214.467566842457,6544.5345749634735,1099.5340640431968,-725.5921570167262,0.5130543532475057,0.0023992874247689287,1.2893526830106892,-14.999999999999998,0.0,57.29577951308232,1.0
2,40.02899933451871,0.004739759849889384,0.5105152413024019,-2.013507698533134,-1.305483104113451,0.011157016202919428,0.04790941097818331,0.016386403226672074,-0.00413530727839635,0.02961366538800782,0.024259784722431392,-147.04690850916643,3090.9282588496058,86.33119828077169,15731.7219662899,5999.998723903049,320.929276389724,-889.4293600557825,0.7306898357824408,0.006783735672903179,1.9562161619504832,-14.999999999999998,0.0,57.29577951308232,2.0
3,40.05584750843635,0.009294140945266066,0.6611304960207005,-2.68524219842053,-1.7410377987351824,0.021028391686157933,0.06867838452223994,0.01731021137081282,-0.005884257684350498,0.08451180402434344,0.043039666372097246,-147.05163751680936,3293.449141378117,95.53024532295385,15269.607929396054,5498.975010116669,-325.94598314685715,-1041.24970047418,0.9455934717175903,0.013292504198015632,2.527675316974458,-14.999999999999998,0.0,57.29577951308232,3.0
4,40.084403513299996,0.015751197295960216,0.8084473528766909,-3.3574260185464175,-2.1768965603958694,0.03364947158267135,0.08772147264291316,0.0163642206067225,-0.00787872432007967,0.16320639241556056,0.06288563165551486,-147.05835111565295,3492.5632839597806,113.78764128641222,14831.255534065534,5037.479639536915,-848.1384700210515,-1181.6616394051805,1.1554205148290675,0.0225098418817883,3.0050896346403477,-14.999999999999998,0.0,57.29577951308232,4.0
5,40.11466275644789,0.024480387242321607,0.9511694733124479,-4.030090761313243,-2.6130773255478967,0.04893933900169898,0.10517483559150417,0.013907153104010766,-0.010100073065018018,0.2637179450089788,0.0816632882240884,-147.06732602262502,3686.762357508782,140.16013476759144,14425.632552147648,4611.932295586008,-1201.662488002602,-1311.1950239908435,1.3583009991516712,0.034955511811496656,3.3383147770544213,-14.999999999999998,0.0,57.29577951308232,5.0
6,40.1466169405152,0.035809441918247406,1.088361050894718,-4.703266994905996,-3.0495983350914004,0.06682125838814496,0.12116216409519504,0.010424583267250546,-0.012530333732308973,0.3842230374233386,0.09765281419584033,-147.07882639183936,3874.8136536948787,173.78405698197673,14054.730585676658,4219.128057256105,-1389.2424726997074,-1430.060261659705,1.5528886326293514,0.05108713944448779,3.522519696923427,-14.999999999999998,0.0,57.29577951308232,6.0
7,40.18024838164547,0.050026753745732865,1.2194881450348503,-5.376983990090066,-3.486477944276631,0.0872242734346229,0.13579598843804325,0.006394163290498865,-0.015151770540638241,0.5230403148204297,0.10969452622275967,-147.0931046877988,4055.8602928901414,213.8689759481578,13718.90472922412,3856.2140549283563,-1418.4519628862877,-1538.390406154769,1.7384183649759215,0.07130371874653117,3.557850801396879,-14.999999999999998,0.0,57.29577951308232,7.0
8,40.21552701481873,0.06738411911005207,1.3443990475188088,-6.05126954241211,-3.92373444963941,0.11008358350215777,0.14917893138893815,0.0022716694073179307,-0.017946838762139494,0.6786179431429115,0.11717988985816186,-147.1103997589545,4229.427170623646,259.6913487647799,13415.334112340424,3520.655417867143,-1313.8811608609572,-1636.275097302773,1.9146762919690052,0.09594966856799389,3.4619108004050436,-14.999999999999998,0.0,57.29577951308232,8.0
9,40.25240853257881,0.08809987106673196,1.4632801976738667,-6.726149883971186,-4.361385944791232,0.13534062940459793,0.1614048603386575,-0.0015580807085182522,-0.02089817908473191,0.8495224121350395,0.12002642390279082,-147.13093309055535,4395.40621183412,310.588562919501,13139.477672197787,3210.199316104145,-1106.7693850668443,-1723.853864452942,2.0819344757962477,0.1253194752052532,3.2600217289808207,-14.999999999999998,0.0,57.29577951308232,9.0
10,40.29083481249434,0.1123621835418947,1.5765854519348856,-7.401649673142744,-4.799450212183501,0.16294261741959135,0.17255991730753817,-0.004800391820705149,-0.023988741027024217,1.0344285412537821,0.1185962475983066,-147.15490453164227,4554.000871152625,365.95328372137567,12885.471876257016,2922.836823669178,-833.2878665662637,-1801.3569953785625,2.2408478472093463,0.15966259304495412,2.9837714814129743,-14.999999999999998,0.0,57.29577951308232,10.0
11,40.33073594978782,0.14033239009550205,1.6849533048693006,-8.077792049313059,-5.237944655290145,0.19284173522353798,0.18272340977965104,-0.007264904446525635,-0.02720195079197087,1.2321105448920204,0.1135925660638333,-147.18248849095937,4705.651610020784,425.2282193016151,12646.978767401995,2656.7658425932395,-529.6040154701175,-1869.1368266040297,2.3923343088200086,0.19918836737826767,2.666267294184135,-14.999999999999998,0.0,57.29577951308232,11.0
